date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:47	30015/30015	---MCZ	200	added ('OK')	text/html	etag:W/%220b61459d2fff092b36b942f07aa15761%22	https://github.com/login	github.com/login.html	(from )
14:50:48	549/549	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%2264412d06-5e4%22	https://github.com/robots.txt		(from )
14:50:48	549/549	---M-Z	200	added ('OK')	text/xml	etag:W/%2264412d1a-225%22	https://github.com/opensearch.xml	github.com/opensearch.xml	(from https://github.com/login)
14:50:50	33270/33270	---M--	200	added ('OK')	image/png	etag:%2264412cfd-81f6%22	https://github.com/fluidicon.png	github.com/fluidicon.png	(from https://github.com/login)
14:50:50	1244/1244	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%223016f714f989fca13ca81d86d3d139bc%22	https://github.com/manifest.json	github.com/manifest.json	(from https://github.com/login)
14:50:51	226508/226508	---MCZ	200	added ('OK')	text/html	etag:W/%2213c3528a7773101ee99d10dc6532e1b6%22	https://github.com/	github.com/index.html	(from https://github.com/login)
14:50:51	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2020%20Apr%202023%2012:50:51%20GMT	https://github.com/notifications/beta/shelf	github.com/notifications/beta/shelf.4.delayed	(from https://github.com/login)
14:50:53	30198/30198	---MCZ	200	added ('OK')	text/html	etag:W/%22f8bc6031817d4e3edd86728fcecd7022%22	https://github.com/login?return_to=https%3A%2F%2Fgithub.com%2Fnotifications%2Fbeta%2Fshelf	github.com/logine7b6.html	(from https://github.com/login)
14:50:54	27886/27886	---MCZ	200	added ('OK')	text/html	etag:W/%22f18b67b611dab1671f64a6bf0495755b%22	https://github.com/password_reset	github.com/password_reset.html	(from https://github.com/login)
14:50:55	56827/56827	---MCZ	200	added ('OK')	text/html	etag:W/%222c15c3d0a619828b5e34b26a813bd5f3%22	https://github.com/signup?source=login	github.com/signup3060.html	(from https://github.com/login)
14:50:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Apr%202023%2012:50:55%20GMT	https://github.com/site/terms	github.com/site/terms.8.delayed	(from https://github.com/login)
14:50:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Apr%202023%2012:50:56%20GMT	https://github.com/site/privacy	github.com/site/privacy.9.delayed	(from https://github.com/login)
14:50:58	135865/135865	---MCZ	200	added ('OK')	text/html	etag:W/%2217d87fbe74b94fa0b538150578e1529d%22	https://github.com/security	github.com/security.html	(from https://github.com/login)
14:50:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Apr%202023%2012:50:58%20GMT	https://github.com/contact	github.com/contact.b.delayed	(from https://github.com/login)
14:51:00	85085/85085	---M-Z	200	added ('OK')	application/json	etag:W/%225a31fc3d3fde09b869a151ed6f272749%22	https://github.com/webgl-globe/data/data.json	github.com/webgl-globe/data/data.json	(from https://github.com/)
14:51:01	56906/56906	---MCZ	200	added ('OK')	text/html	etag:W/%2255a25c7b91608e4780eb986b2c73e6dd%22	https://github.com/signup?ref_cta=Sign+up&ref_loc=header+logged+out&ref_page=%2F&source=header-home	github.com/signup50dd.html	(from https://github.com/)
14:51:02	273240/273240	---MCZ	200	added ('OK')	text/html	etag:W/%22554a8e6469b342310048f6df32fbb1e0%22	https://github.com/features/actions	github.com/features/actions.html	(from https://github.com/)
14:51:03	152873/152873	---MCZ	200	added ('OK')	text/html	etag:W/%2276b25be582f0e49cbc1fbaa9cba0fe95%22	https://github.com/features/packages	github.com/features/packages.html	(from https://github.com/)
14:51:04	171619/171619	---MCZ	200	added ('OK')	text/html	etag:W/%22953a7f80ee7de34c48bf4a2e01b6bd84%22	https://github.com/features/security	github.com/features/security.html	(from https://github.com/)
14:51:05	197676/197676	---MCZ	200	added ('OK')	text/html	etag:W/%228401b5d096d9014c8ef5d3ec9c83dda9%22	https://github.com/features/codespaces	github.com/features/codespaces.html	(from https://github.com/)
14:51:06	530867/530867	---MCZ	200	added ('OK')	text/html	etag:W/%22c599593783bbd67981df464868215a56%22	https://github.com/features/copilot	github.com/features/copilot.html	(from https://github.com/)
14:51:07	132051/132051	---MCZ	200	added ('OK')	text/html	etag:W/%22b15de326e5e6208d03f4a12dca161cad%22	https://github.com/features/code-review	github.com/features/code-review.html	(from https://github.com/)
14:51:08	209876/209876	---MCZ	200	added ('OK')	text/html	etag:W/%225e6f3c2748de21352de445215e9716dd%22	https://github.com/features/issues	github.com/features/issues.html	(from https://github.com/)
14:51:09	205470/205470	---MCZ	200	added ('OK')	text/html	etag:W/%22aa834486c37fc6fc1e335e6f68466bd8%22	https://github.com/features/discussions	github.com/features/discussions.html	(from https://github.com/)
14:51:10	305318/305318	---MCZ	200	added ('OK')	text/html	etag:W/%229911f6ee67343fabae423f490617e8fa%22	https://github.com/features	github.com/features.html	(from https://github.com/)
14:51:11	262266/262266	---MCZ	200	added ('OK')	text/html	etag:W/%22e863e2a3dbc2d0a4c502b66c984b6451%22	https://github.com/enterprise	github.com/enterprise.html	(from https://github.com/)
14:51:12	207022/207022	---MCZ	200	added ('OK')	text/html	etag:W/%22f4dc8831a5b4d58d4ca0f64642908259%22	https://github.com/team	github.com/team.html	(from https://github.com/)
14:51:13	224580/224580	---MCZ	200	added ('OK')	text/html	etag:W/%2266143e08ccc64d1e8be558b6e8b0c9b8%22	https://github.com/enterprise/startups	github.com/enterprise/startups.html	(from https://github.com/)
14:51:14	230999/230999	---MCZ	200	added ('OK')	text/html	etag:W/%22e2135fb90b816e7d898b8727e01fc53c%22	https://github.com/customer-stories	github.com/customer-stories.html	(from https://github.com/)
14:51:14	253547/253547	---MCZ	200	added ('OK')	text/html	etag:W/%220d49c1086bf5f50792dff524102233b0%22	https://github.com/solutions/ci-cd/	github.com/solutions/ci-cd/index.html	(from https://github.com/)
14:51:15	186133/186133	---MCZ	200	added ('OK')	text/html	etag:W/%224f670c8c89927188cdb5d029789c5de6%22	https://github.com/sponsors	github.com/sponsors.html	(from https://github.com/)
14:51:16	228678/228678	---MCZ	200	added ('OK')	text/html	etag:W/%227e99144959efa0dc2a8459e803a75106%22	https://github.com/readme	github.com/readme.html	(from https://github.com/)
14:51:17	154343/154343	---MCZ	200	added ('OK')	text/html	etag:W/%228bb05168d180bb5dc0adb2e9392aad02%22	https://github.com/topics	github.com/topics.html	(from https://github.com/)
14:51:18	596351/596351	---MCZ	200	added ('OK')	text/html	etag:W/%229c440c2849dfc8c5f7793dc7d52039da%22	https://github.com/trending	github.com/trending.html	(from https://github.com/)
14:51:19	97454/97454	---MCZ	200	added ('OK')	text/html	etag:W/%223cbc19cd99f3c555cd16c6120dd7c30e%22	https://github.com/collections	github.com/collections.html	(from https://github.com/)
14:51:20	431730/431730	---MCZ	200	added ('OK')	text/html	etag:W/%2261dd2de785a1d1b89c41923c5740d720%22	https://github.com/pricing	github.com/pricing.html	(from https://github.com/)
14:51:21	128828/128828	---MCZ	200	added ('OK')	text/html	etag:W/%22545d28f4042627f4947ae1fa6ce97213%22	https://github.com/features/preview/copilot-x	github.com/features/preview/copilot-x.html	(from https://github.com/)
14:51:22	88832/88832	---MCZ	200	added ('OK')	text/html	etag:W/%22e12cc5449e890c90dfb885d75033e09d%22	https://github.com/organizations/enterprise_plan?ref_cta=Start+a+free+enterprise+trial&ref_loc=Home+campaign+hero&ref_page=%2F	github.com/organizations/enterprise_plan1c17.html	(from https://github.com/)
14:51:23	88839/88839	---MCZ	200	added ('OK')	text/html	etag:W/%22c9f0695c92bd80319c27ae8a262cc2d1%22	https://github.com/organizations/enterprise_plan?ref_cta=Start+a+free+enterprise+trial&ref_loc=homepage+sticky+nav&ref_page=%2F	github.com/organizations/enterprise_plan8549.html	(from https://github.com/)
14:51:24	99149/99149	---MCZ	200	added ('OK')	text/html	etag:W/%22fafa4f2be309301bd9db8f573172f397%22	https://github.com/join?ref_cta=Sign+up+for+GitHub&ref_loc=homepage+sticky+nav&ref_page=%2F&source=homepage-sticky-nav	github.com/joinc9e2.html	(from https://github.com/)
14:51:25	165014/165014	---MCZ	200	added ('OK')	text/html	etag:W/%22b9a19cf58cffa83622ffa6f408486173%22	https://github.com/mobile	github.com/mobile.html	(from https://github.com/)
14:51:26	257939/257939	---MCZ	200	added ('OK')	text/html	etag:W/%220ca7fdf834f3e53f0c5c2af2c96a64b7%22	https://github.com/dayhaysoos	github.com/dayhaysoos.html	(from https://github.com/)
14:51:26	188431/188431	---MCZ	200	added ('OK')	text/html	etag:W/%22aad7c94f66f1228095343f9e0f7e970e%22	https://github.com/chaynhq	github.com/chaynhq.html	(from https://github.com/)
14:51:28	210434/210434	---MCZ	200	added ('OK')	text/html	etag:W/%22d4d37e693f4f64be4ee891aea2dc5796%22	https://github.com/eslint	github.com/eslint.html	(from https://github.com/)
14:51:29	204103/204103	---MCZ	200	added ('OK')	text/html	etag:W/%22be8dbeea62b9ffbe2cb026969aa2a0d2%22	https://github.com/directus	github.com/directus.html	(from https://github.com/)
14:51:30	246510/246510	---MCZ	200	added ('OK')	text/html	etag:W/%228c014d1d987bc76e3d7c21a13219a651%22	https://github.com/prophen	github.com/prophen.html	(from https://github.com/)
14:51:31	389046/389046	---MCZ	200	added ('OK')	text/html	etag:W/%2223fdedfbd3abc46e68d686fd3402671e%22	https://github.com/sindresorhus	github.com/sindresorhus.html	(from https://github.com/)
14:51:32	297107/297107	---MCZ	200	added ('OK')	text/html	etag:W/%22892337b49abf6318f48de02b0a3e90b9%22	https://github.com/yyx990803	github.com/yyx990803.html	(from https://github.com/)
